DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
110,19.82933
119,6.28398
48,6.28398
47,6.28398
88,19.82933
94,19.82933
100,2.53582
51,6.28398
97,8.737004
52,6.28398
77,19.82933
13,19.82933
22,6.28398
42,6.28398
41,6.28398
11,19.82933
15,19.82933
118,6.28398
78,19.82933
117,18.05667
24,6.28398
99,8.737004
80,19.82933
59,6.28398
112,19.82933
14,24.762298999999995
70,2.53582
87,19.82933
68,19.82933
91,19.82933
120,6.28398
102,271.7102
27,6.28398
85,19.82933
53,6.28398
104,19.82933
83,19.82933
20,6.28398
5,16.22464
105,19.82933
37,6.28398
79,19.82933
45,6.28398
86,19.82933
32,6.28398
114,18.05667
17,19.82933
89,19.82933
25,6.28398
16,19.82933
98,8.737004
8,19.82933
116,18.05667
76,19.82933
3,16.22464
2,16.22464
7,19.82933
57,9.26572
35,6.28398
108,6.28398
66,2.53582
61,6.28398
33,6.28398
73,19.82933
93,10.38857
72,19.82933
121,6.28398
12,19.82933
82,19.82933
38,6.28398
39,6.28398
4,16.22464
64,6.28398
115,19.82933
60,6.28398
50,6.28398
44,6.28398
29,6.28398
84,19.82933
21,6.28398
6,16.22464
34,6.28398
62,6.28398
67,19.82933
65,2.53582
74,19.82933
101,2.53582
90,19.82933
111,19.82933
55,6.28398
43,6.28398
40,6.28398
107,6.28398
18,19.82933
23,6.28398
63,6.28398
96,8.737004
19,19.82933
103,19.82933
95,19.82933
30,6.28398
92,10.38857
81,19.82933
31,6.28398
36,6.28398
46,6.28398
9,19.82933
75,19.82933
106,6.28398
71,19.82933
113,18.05667
10,19.82933
26,6.28398
69,19.82933
1,16.22464
28,6.28398
109,6.28398
49,6.28398
58,9.26572
56,6.28398
54,9.26572
