DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
101,221.04038599999998
104,3730.639958
60,221.076798
119,221.076798
91,3730.639958
80,3735.453558
105,3730.639958
36,221.076798
42,221.076798
73,3730.639958
63,221.076798
65,221.04038599999998
50,221.076798
92,281.45200800000003
23,221.076798
84,3735.453558
14,3731.5210690000004
97,221.076798
56,221.076798
13,3730.639958
34,221.076798
40,221.076798
82,3735.453558
106,221.076798
29,221.076798
26,221.076798
2,3701.205
88,3735.453558
44,221.076798
17,3733.8806840000007
95,3730.639958
49,221.076798
69,3730.639958
112,3731.4130360000004
35,221.304861
57,229.382388
71,3730.639958
66,221.04038599999998
55,221.076798
103,3730.639958
41,221.076798
99,221.076798
6,3701.205
109,221.076798
113,3703.8995590000004
102,233.252453
116,3705.1829690000004
110,3730.639958
33,221.076798
98,221.076798
111,3730.639958
76,3730.639958
108,221.643499
85,3735.453558
28,221.076798
24,221.076798
45,221.076798
94,3730.639958
20,221.076798
61,221.076798
120,221.076798
43,221.076798
5,3701.205
12,3730.639958
72,3730.639958
22,221.076798
100,221.04038599999998
31,221.076798
67,3730.639958
11,3731.0108020000002
39,221.076798
96,221.076798
54,229.382388
64,221.076798
10,3730.639958
114,3703.8995590000004
68,3730.639958
46,221.076798
78,3735.453558
70,221.04038599999998
48,221.076798
90,3730.639958
93,281.45200800000003
9,3730.639958
8,3730.639958
21,221.076798
18,3730.639958
15,3730.639958
7,3730.639958
118,221.076798
52,221.076798
1,3701.205
4,3701.205
115,3705.7851990000004
81,3735.453558
117,3705.1829690000004
27,221.076798
3,3701.205
19,3730.639958
51,221.076798
79,3735.453558
32,221.076798
37,221.076798
59,221.076798
87,3735.453558
30,221.076798
16,3730.639958
75,3730.639958
53,221.076798
62,221.076798
47,221.076798
38,221.076798
58,229.382388
25,221.076798
83,3735.453558
121,221.076798
77,3730.769827
86,3735.453558
89,3735.453558
74,3730.639958
107,221.076798
